Department Family,Entity,Invoice Date,Consolidated Expense Type,Expense area,Supplier,Purchase Invoice Number,Invoice Value,Description
Department of Health,NHS Digital,3/7/2017,Managed Service,Provider Support and Integration ,BT GLOBAL SERVICES,436370,"6,807,712.85",Managed Service
Department of Health,NHS Digital,1/20/2017,Managed Service,Provider Support & Integration ,BT GLOBAL SERVICES,432441,"6,772,892.05",Managed Service
Department of Health,NHS Digital,2/16/2017,Managed Service,Provider Support & Integration ,BT GLOBAL SERVICES,433587,"6,479,154.77",Managed Service
Department of Health,NHS Digital,3/7/2017,Managed Service,Provider Support and Integration ,BT GLOBAL SERVICES,436212,"6,457,105.37",Managed Service
Department of Health,NHS Digital,12/22/2016,Managed Service,Provider Support & Integration ,BT GLOBAL SERVICES,430649,"6,379,986.78",Managed Service
Department of Health,NHS Digital,1/31/2017,Software,Operations and Assurance Services ,INSIGHT DIRECT (UK) LTD,3236273,"2,448,654.48",Software
Department of Health,NHS Digital,2/1/2017,Managed Service,Health Digital Services ,ACCENTURE (UK) LTD,3003346433,"1,292,821.73",Managed Service
Department of Health,NHS Digital,1/1/2017,Managed Service,Health Digital Services ,ACCENTURE (UK) LTD,3003343804,"1,273,746.47",Managed Service
Department of Health,NHS Digital,12/2/2016,Managed Service,Health Digital Services ,ACCENTURE (UK) LTD,3003342109,"1,201,838.47",Managed Service
Department of Health,NHS Digital,3/1/2017,Managed Service,Health Digital Services ,ACCENTURE (UK) LTD,3003349162,"1,193,930.86",Managed Service
Department of Health,NHS Digital,7/31/2016,Computer Maintenance,Operations and Assurance Services ,SOFTCAT LTD,INV01428181,"1,154,371.04",Computer Maintenance
Department of Health,NHS Digital,3/28/2017,IT Hardware,Operations and Assurance Services ,SOFTCAT LTD,INV01560251,"984,695.44",IT Hardware
Department of Health,NHS Digital,3/14/2017,Managed Service,Provider Support and Integration ,BT GLOBAL SERVICES,436849,"870,296.48",Managed Service
Department of Health,NHS Digital,3/17/2017,Data Purchases and Services,Information and Analytics ,NATIONAL CENTRE FOR SOCIAL RESEARCH,53331,"857,589.00",Health Surveys
Department of Health,NHS Digital,6/30/2016,Data Purchases and Services,Information and Analytics ,NATIONAL CENTRE FOR SOCIAL RESEARCH,52738,"765,100.00",Health Surveys
Department of Health,NHS Digital,7/7/2016,Software,Operations and Assurance Services ,SOFTCAT LTD,INV01411189,"750,936.92",Software
Department of Health,NHS Digital,12/15/2016,Data Purchases and Services,Information and Analytics ,NATIONAL CENTRE FOR SOCIAL RESEARCH,53098,"727,325.00",Health Surveys
Department of Health,NHS Digital,3/17/2017,Data Purchases and Services,Information and Analytics ,NATIONAL CENTRE FOR SOCIAL RESEARCH,53328,"693,957.00",Health Surveys
Department of Health,NHS Digital,3/17/2016,Data Purchases and Services,Information and Analytics ,NATIONAL CENTRE FOR SOCIAL RESEARCH,52555,"641,260.00",Health Surveys
Department of Health,NHS Digital,1/31/2017,IT Hardware,Operations and Assurance Services ,SOFTCAT LTD,INV01547437,"629,415.05",IT Hardware
Department of Health,NHS Digital,11/4/2016,Software,Provider Support and Integration ,INTERNATIONAL HEALTH TERMINOLOGY STANDARDS DEVELOPMENT ORGANISATION,2017027,"623,639.37",Software
Department of Health,NHS Digital,9/19/2016,Data Purchases and Services,Information and Analytics ,NATIONAL CENTRE FOR SOCIAL RESEARCH,52906,"608,600.00",Health Surveys
Department of Health,NHS Digital,3/17/2017,Data Purchases and Services,Information and Analytics ,NATIONAL CENTRE FOR SOCIAL RESEARCH,53327,"520,000.00",Health Surveys
Department of Health,NHS Digital,4/1/2016,Software,Operations and Assurance Services ,INSIGHT DIRECT (UK) LTD,2833848,"494,552.31",Software
Department of Health,NHS Digital,11/4/2016,IT Hardware,Operations and Assurance Services ,SOFTCAT LTD,INV01489501,"485,605.80",IT Hardware
Department of Health,NHS Digital,6/23/2016,Managed Service,Operations and Assurance Services ,BT PLC,HEALTH1,"435,974.00",Managed Service
Department of Health,NHS Digital,11/29/2016,Software,Information and Analytics ,AMADEUS SOFTWARE LTD,6748,"430,236.00",Software
Department of Health,NHS Digital,12/21/2016,IT Hardware,Operations and Assurance Services ,TELEFONICA O2 UK LTD,92322051A,"419,776.01",IT Hardware
Department of Health,NHS Digital,2/20/2017,Software,Operations and Assurance Services ,GS1 UK,14012390,"409,216.00",Software
Department of Health,NHS Digital,8/4/2016,IT Hardware,Operations and Assurance Services ,ANS GROUP PLC,1003338,"404,333.44",IT Hardware
Department of Health,NHS Digital,3/31/2016,Software,Operations and Assurance Services ,GS1 UK,140225361,"399,236.00",Software
Department of Health,NHS Digital,11/30/2016,Travel,Various,REDFERN TRAVEL LTD,2891,"373,058.59",Travel
Department of Health,NHS Digital,2/28/2017,Travel,Various,REDFERN TRAVEL LTD,3460,"367,091.39",Travel
Department of Health,NHS Digital,10/31/2016,Travel,Various,REDFERN TRAVEL LTD,2717,"352,849.54",Travel
Department of Health,NHS Digital,1/31/2017,Travel,Various,REDFERN TRAVEL LTD,3325,"350,131.34",Travel
Department of Health,NHS Digital,12/23/2016,Software,Operations and Assurance Services ,SOFTCAT LTD,INV01525526,"345,144.87",Software
Department of Health,NHS Digital,9/30/2016,Travel,Various,REDFERN TRAVEL LTD,2541,"343,337.03",Travel
Department of Health,NHS Digital,3/31/2016,Travel,Various,REDFERN TRAVEL LTD,1399,"339,266.87",Travel
Department of Health,NHS Digital,12/19/2016,IT Hardware,Health Digital Services ,SOFTCAT LTD,INV01521571,"332,439.84",IT Hardware
Department of Health,NHS Digital,3/30/2016,Software,Operations and Assurance Services ,INSIGHT DIRECT (UK) LTD,2829670,"327,824.56",Software
Department of Health,NHS Digital,6/30/2016,Travel,Various,REDFERN TRAVEL LTD,1998,"323,503.60",Travel
Department of Health,NHS Digital,1/9/2017,Travel,Various,WEST YORKSHIRE COMBINED AUTHORITY,PPCS5265,"312,053.70",Travel
Department of Health,NHS Digital,6/7/2016,Software,Operations and Assurance Services ,SOFTCAT LTD,INV01390364,"310,279.30",Software
Department of Health,NHS Digital,9/30/2016,Workpackage,Operations and Assurance Services ,INFINITY WORKS CONSULTING,570,"309,809.32",Workpackage
Department of Health,NHS Digital,10/22/2016,Fixtures & Fittings,Finance and Corporate Services ,RFM FACILITIES & INTERIORS LTD,17308,"304,233.50",Fixtures & Fittings Additions
Department of Health,NHS Digital,10/31/2016,Managed Service,Operations and Assurance Services ,DEPARTMENT OF HEALTH,214683,"291,684.00",Managed Service
Department of Health,NHS Digital,6/16/2016,Travel,Various,REDFERN TRAVEL LTD,1572,"291,031.81",Travel
Department of Health,NHS Digital,7/1/2016,Workpackage,Operations and Assurance Services ,INFINITY WORKS CONSULTING,432,"289,662.50",Workpackage
Department of Health,NHS Digital,10/3/2016,Data Purchases and Services,Health Digital Services ,EMIS (EGTON MEDICAL INFORMATION SYSTEMS LTD),EMSINV010669,"288,901.51",Data Services
Department of Health,NHS Digital,7/6/2016,Data Purchases and Services,Health Digital Services ,EMIS (EGTON MEDICAL INFORMATION SYSTEMS LTD),SINV006848,"288,901.51",Data Services
Department of Health,NHS Digital,1/12/2017,Data Purchases and Services,Health Digital Services ,EMIS (EGTON MEDICAL INFORMATION SYSTEMS LTD),EMSINV014551,"288,901.51",Data Services
Department of Health,NHS Digital,3/24/2017,Data Purchases and Services,Health Digital Services ,EMIS (EGTON MEDICAL INFORMATION SYSTEMS LTD),EMSINV017410,"288,901.51",Data Services
Department of Health,NHS Digital,6/16/2016,Managed Service,Provider Support and Integration ,BT GLOBAL SERVICES,414853,"288,362.00",Managed Service
Department of Health,NHS Digital,4/12/2016,Data Purchases and Services,Health Digital Services ,EMIS (EGTON MEDICAL INFORMATION SYSTEMS LTD),EMSINV004313,"284,475.60",Data Services
Department of Health,NHS Digital,6/14/2016,Travel,Various,REDFERN TRAVEL LTD,1764,"284,108.18",Travel
Department of Health,NHS Digital,12/15/2016,Data Purchases and Services,Information and Analytics ,NATIONAL CENTRE FOR SOCIAL RESEARCH,53100,"281,000.00",Health Surveys
Department of Health,NHS Digital,7/31/2016,Travel,Various,REDFERN TRAVEL LTD,2132,"271,934.93",Travel
Department of Health,NHS Digital,3/27/2017,Software,Operations and Assurance Services ,INSIGHT DIRECT (UK) LTD,3315279,"271,768.23",Software
Department of Health,NHS Digital,11/30/2016,Workpackage,Operations and Assurance Services ,INFINITY WORKS CONSULTING,691,"269,880.78",Workpackage
Department of Health,NHS Digital,7/18/2016,Workpackage,Operations and Assurance Services ,INFINITY WORKS CONSULTING,469,"264,662.50",Workpackage
Department of Health,NHS Digital,11/17/2016,Data Purchases and Services,Health Digital Services ,CSC COMPUTER SCIENCES LTD,5201474939,"263,935.13",Data Services
Department of Health,NHS Digital,6/2/2016,Workpackage,Operations and Assurance Services ,INFINITY WORKS CONSULTING,3762,"263,340.00",Workpackage
Department of Health,NHS Digital,4/1/2016,Workpackage,Operations and Assurance Services ,INFINITY WORKS CONSULTING,317,"263,182.50",Workpackage
Department of Health,NHS Digital,7/19/2016,Software,Operations and Assurance Services ,COMPAREX UK LTD,160003212VRUKA,"261,804.97",Software
Department of Health,NHS Digital,8/1/2016,Workpackage,Operations and Assurance Services ,INFINITY WORKS CONSULTING,485,"260,810.68",Workpackage
Department of Health,NHS Digital,2/13/2017,Software,Health Digital Services ,INSIGHT DIRECT (UK) LTD,3254238,"255,286.62",Software
Department of Health,NHS Digital,1/11/2017,Software,Health Digital Services ,INSIGHT DIRECT (UK) LTD,3204643,"252,306.09",Software
Department of Health,NHS Digital,10/31/2016,Workpackage,Operations and Assurance Services ,INFINITY WORKS CONSULTING,605,"251,265.52",Workpackage
Department of Health,NHS Digital,3/14/2017,Software,Health Digital Services ,INSIGHT DIRECT (UK) LTD,3296225,"248,109.21",Software
Department of Health,NHS Digital,1/12/2017,Software,Health Digital Services ,INSIGHT DIRECT (UK) LTD,3206559,"247,276.26",Software
Department of Health,NHS Digital,3/1/2017,Rates,Finance and Corporate Services ,LEEDS CITY COUNCIL,9.02E+20,"247,271.45",Rates
Department of Health,NHS Digital,12/30/2016,Software,Operations and Assurance Services ,SOFTCAT LTD,INV01526746,"246,039.40",Software
Department of Health,NHS Digital,3/1/2017,Rates,Finance and Corporate Services ,LEEDS CITY COUNCIL,90168128X010317242602,"242,602.06",Rates
Department of Health,NHS Digital,12/31/2016,Software,Health Digital Services ,BJSS LTD,INVUK001796,"242,572.00",Software
Department of Health,NHS Digital,1/31/2017,Software,Health Digital Services ,BJSS LTD,1941,"242,572.00",Software
Department of Health,NHS Digital,2/28/2017,Software,Health Digital Services ,BJSS LTD,2147,"242,572.00",Software
Department of Health,NHS Digital,3/30/2017,Software,Health Digital Services ,BJSS LTD,2222,"242,572.00",Software
Department of Health,NHS Digital,9/1/2016,Workpackage,Operations and Assurance Services ,INFINITY WORKS CONSULTING,520,"242,133.65",Workpackage
Department of Health,NHS Digital,12/31/2016,Travel,Various,REDFERN TRAVEL LTD,3033,"242,077.08",Travel
